codDepto,Departamento,CodProv,Provincia,CodMuni,Municipalidad
2, La Paz,204,Camacho,20402,Mocomoco
2, La Paz,204,Camacho,20403,Puerto Carabuco
2, La Paz,204,Camacho,20404,Humanata
2, La Paz,204,Camacho,20405,Escoma
2, La Paz,205,Muñecas,20501,Chuma
2, La Paz,205,Muñecas,20502,Ayata
2, La Paz,205,Muñecas,20503,Aucapata
2, La Paz,206,Larecaja,20601,Sorata
2, La Paz,206,Larecaja,20602,Guanay
2, La Paz,206,Larecaja,20603,Tacacoma
2, La Paz,206,Larecaja,20604,Quiabaya
2, La Paz,206,Larecaja,20605,Combaya
2, La Paz,206,Larecaja,20606,Tipuani
2, La Paz,206,Larecaja,20607,Mapiri
2, La Paz,206,Larecaja,20608,Teoponte
2, La Paz,207,Franz Tamayo,20701,Apolo
2, La Paz,207,Franz Tamayo,20702,Pelechuco
2, La Paz,208,Ingavi,20801,Viacha
2, La Paz,208,Ingavi,20802,Guaqui
2, La Paz,208,Ingavi,20803,Tiahuanaco
2, La Paz,208,Ingavi,20804,Desaguadero
2, La Paz,208,Ingavi,20805,San Andrés de Machaca
2, La Paz,208,Ingavi,20806,Jesús de Machaca
2, La Paz,208,Ingavi,20807,Taraco
2, La Paz,209,Loayza,20901,Luribay
2, La Paz,209,Loayza,20902,Sapahaqui
2, La Paz,209,Loayza,20903,Yaco
2, La Paz,209,Loayza,20904,Malla
2, La Paz,209,Loayza,20905,Cairoma
2, La Paz,210,Inquisivi,21001,Inquisivi
2, La Paz,210,Inquisivi,21002,Quime
2, La Paz,210,Inquisivi,21003,Cajuata
2, La Paz,210,Inquisivi,21004,Colquiri
2, La Paz,210,Inquisivi,21005,Ichoca
2, La Paz,210,Inquisivi,21006,Licoma Pampa
2, La Paz,211,Sud Yungas,21101,Chulumani
2, La Paz,211,Sud Yungas,21102,Irupana
2, La Paz,211,Sud Yungas,21103,Yanacachi
2, La Paz,211,Sud Yungas,21104,Palos Blancos
2, La Paz,211,Sud Yungas,21105,La Asunta
2, La Paz,212,Los Andes,21201,Pucarani
2, La Paz,212,Los Andes,21202,Laja
2, La Paz,212,Los Andes,21203,Batallas
2, La Paz,212,Los Andes,21204,Puerto Pérez
2, La Paz,213,Aroma,21301,Sica Sica
2, La Paz,213,Aroma,21302,Umala
2, La Paz,213,Aroma,21303,Ayo Ayo
2, La Paz,213,Aroma,21304,Calamarca
2, La Paz,213,Aroma,21305,Patacamaya
2, La Paz,213,Aroma,21306,Colquencha
2, La Paz,213,Aroma,21307,Collana
2, La Paz,214,Nor Yungas,21401,Coroico
2, La Paz,214,Nor Yungas,21402,Coripata
2, La Paz,215,Iturralde,21501,Ixiamas
2, La Paz,215,Iturralde,21502,San Buenaventura
2, La Paz,216,Bautista Saavedra,21601,Charazani
2, La Paz,216,Bautista Saavedra,21602,Curva
2, La Paz,217,Manco Kapac,21701,Copacabana
2, La Paz,217,Manco Kapac,21702,San Pedro de Tiquina
